type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,11,15,1,14,1,0.99,166.0,0.0,1.0,32.0,0.16324567794799805
0,11,16,1,14,1,0.985,177.0,2.0,0.0,20.0,0.1606159210205078
0,11,17,1,14,1,0.985,172.0,0.0,2.0,25.0,0.1655750274658203
0,11,18,1,14,1,0.99,172.0,0.0,1.0,26.0,0.1557292938232422
0,11,19,1,14,1,0.99,174.0,0.0,1.0,24.0,0.1574552059173584
0,11,20,1,14,1,0.99,166.0,0.0,1.0,32.0,0.15006208419799805
0,11,21,1,14,1,0.985,170.0,1.0,1.0,27.0,0.162933349609375
0,11,22,1,14,1,0.99,171.0,0.0,1.0,27.0,0.16610932350158691
0,11,23,1,14,1,0.98,173.0,3.0,0.0,23.0,0.15444183349609375
0,11,24,1,14,1,0.98,174.0,2.0,1.0,22.0,0.1579134464263916
0,12,0,1,15,1,0.99,69.0,0.0,1.0,129.0,0.16845154762268066
0,12,1,1,15,1,0.99,55.0,1.0,0.0,143.0,0.1603541374206543
0,12,2,1,15,1,0.985,53.0,1.0,1.0,144.0,0.1578836441040039
0,12,3,1,15,1,0.99,58.0,1.0,0.0,140.0,0.14426159858703613
0,12,4,1,15,1,0.985,61.0,0.0,2.0,136.0,0.14731979370117188
0,12,5,1,15,1,0.99,49.0,1.0,0.0,149.0,0.16134071350097656
0,12,6,1,15,1,0.99,51.0,0.0,1.0,147.0,0.15206670761108398
0,12,7,1,15,1,0.985,47.0,0.0,2.0,150.0,0.16550397872924805
0,12,8,1,15,1,0.98,59.0,1.0,2.0,137.0,0.1583874225616455
0,12,9,1,15,1,0.985,53.0,1.0,1.0,144.0,0.16313743591308594
0,12,10,1,15,1,0.99,62.0,1.0,0.0,136.0,0.15297293663024902
0,12,11,1,15,1,0.99,48.0,0.0,1.0,150.0,0.15644240379333496
0,12,12,1,15,1,0.99,50.0,1.0,0.0,148.0,0.1652820110321045
0,12,13,1,15,1,0.985,60.0,2.0,0.0,137.0,0.20305490493774414
0,12,14,1,15,1,0.985,50.0,0.0,2.0,147.0,0.16625070571899414
0,12,15,1,15,1,0.985,62.0,2.0,0.0,135.0,0.14896368980407715
0,12,16,1,15,1,0.985,47.0,1.0,1.0,150.0,0.15360569953918457
0,12,17,1,15,1,0.99,55.0,1.0,0.0,143.0,0.15171122550964355
0,12,18,1,15,1,0.99,45.0,0.0,1.0,153.0,0.1583390235900879
0,12,19,1,15,1,0.985,49.0,0.0,2.0,148.0,0.16547536849975586
0,12,20,1,15,1,0.985,48.0,0.0,2.0,149.0,0.15676641464233398
0,12,21,1,15,1,0.985,49.0,1.0,1.0,148.0,0.15158534049987793
0,12,22,1,15,1,0.99,44.0,1.0,0.0,154.0,0.16771793365478516
0,12,23,1,15,1,0.98,55.0,1.0,2.0,141.0,0.1503620147705078
0,12,24,1,15,1,0.985,50.0,1.0,1.0,147.0,0.1560349464416504
0,13,0,1,16,1,0.99,134.0,0.0,1.0,64.0,0.16179990768432617
0,13,1,1,16,1,0.99,135.0,0.0,1.0,63.0,0.16143465042114258
0,13,2,1,16,1,0.985,135.0,2.0,0.0,62.0,0.15479326248168945
0,13,3,1,16,1,0.98,138.0,1.0,2.0,58.0,0.15175151824951172
0,13,4,1,16,1,0.985,147.0,0.0,2.0,50.0,0.16849851608276367
0,13,5,1,16,1,0.985,134.0,0.0,2.0,63.0,0.15966272354125977
0,13,6,1,16,1,0.99,129.0,0.0,1.0,69.0,0.15512609481811523
0,13,7,1,16,1,0.99,141.0,0.0,1.0,57.0,0.16386938095092773
0,13,8,1,16,1,0.99,141.0,0.0,1.0,57.0,0.15260601043701172
