type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,13,8,1,16,1,0.985,123.0,0.0,1.0,74.0
0,13,9,1,16,1,0.98,133.0,0.0,2.0,63.0
0,13,10,1,16,1,0.98,122.0,0.0,2.0,74.0
0,13,11,1,16,1,0.98,117.0,1.0,1.0,79.0
0,13,12,1,16,1,0.985,119.0,0.0,1.0,78.0
0,13,13,1,16,1,0.98,109.0,1.0,1.0,87.0
0,13,14,1,16,1,0.975,115.0,1.0,2.0,80.0
0,13,15,1,16,1,0.97,119.0,1.0,3.0,75.0
0,13,16,1,16,1,0.985,120.0,0.0,1.0,77.0
0,13,17,1,16,1,0.97,121.0,2.0,2.0,73.0
0,13,18,1,16,1,0.975,120.0,2.0,1.0,75.0
0,13,19,1,16,1,0.98,118.0,0.0,2.0,78.0
0,13,20,1,16,1,0.98,138.0,1.0,1.0,58.0
0,13,21,1,16,1,0.975,129.0,2.0,1.0,66.0
0,13,22,1,16,1,0.98,119.0,1.0,1.0,77.0
0,13,23,1,16,1,0.98,116.0,2.0,0.0,80.0
0,13,24,1,16,1,0.985,124.0,1.0,0.0,73.0
0,14,0,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,1,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,2,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,3,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,4,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,5,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,6,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,7,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,8,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,9,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,10,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,11,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,12,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,13,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,14,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,15,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,16,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,17,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,18,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,19,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,20,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,21,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,22,1,17,1,0.985,0.0,1.0,0.0,197.0
0,14,23,1,17,1,0.99,0.0,0.0,0.0,198.0
0,14,24,1,17,1,0.99,0.0,0.0,0.0,198.0
0,15,0,1,18,1,0.98,126.0,1.0,1.0,70.0
0,15,1,1,18,1,0.975,106.0,2.0,1.0,89.0
0,15,2,1,18,1,0.98,104.0,0.0,2.0,92.0
0,15,3,1,18,1,0.98,103.0,2.0,0.0,93.0
0,15,4,1,18,1,0.98,109.0,1.0,1.0,87.0
0,15,5,1,18,1,0.975,108.0,1.0,2.0,87.0
0,15,6,1,18,1,0.985,101.0,1.0,0.0,96.0
0,15,7,1,18,1,0.985,101.0,1.0,0.0,96.0
0,15,8,1,18,1,0.985,100.0,0.0,1.0,97.0
0,15,9,1,18,1,0.98,107.0,1.0,1.0,89.0
0,15,10,1,18,1,0.98,103.0,0.0,2.0,93.0
0,15,11,1,18,1,0.975,102.0,0.0,3.0,93.0
0,15,12,1,18,1,0.985,115.0,1.0,0.0,82.0
0,15,13,1,18,1,0.98,107.0,2.0,0.0,89.0
0,15,14,1,18,1,0.975,109.0,2.0,1.0,86.0
0,15,15,1,18,1,0.98,110.0,0.0,2.0,86.0
0,15,16,1,18,1,0.975,112.0,2.0,1.0,83.0
0,15,17,1,18,1,0.985,122.0,1.0,0.0,75.0
